country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Honduras,0,0,0,0,0,0,0,0,0,0,2,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,0
Iceland,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0
India,26,0,100,0,0,47,0,0,0,0,61,212,0,0,10900,0,36,0,20000000,0,0,55900,0,40300,0,0,0,157000,0,478000,0,6340000,202,0,0,158000,0,0,0
Indonesia,0,0,0,0,0,0,478000,4190,0,86300,20000,2990,23800,100,1950,17,0,32200,0,23000,9320,17200,102000,0,261000,92000,38800,3130,6980,16900,270000,12500,11900,3250,141000,107000,3190000,620000,10700
Iran,10200,0,28500,0,0,0,16,422000,65100,20800,150,37200,0,7520,0,7080,1910,3980,16600,1820,772000,1500,4060,5080,16700,0,0,226000,9310,7060,3020,1000,147000,324000,533,118000,169000,0,20700
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,4240,451,0,0,0,251000,0,905,5010,405000,318,6000,21000,9590,0,0,0,0,0,2740,0,0,0,0,0,0,38100,905,0,0,0,9570,232,0,0,0,0,0
Japan,0,0,0,0,103,0,0,0,2650,27,82,0,1100,208,29,20,0,22700,0,0,0,0,32,18100,1790,549000,0,0,0,0,7230,11300,0,21300,62200,4430,0,55200,841
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36600,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137000,0,0,0,0,1230,0,0,0,0,0,0,0,0,12100,0,4270
